# Time-averaged data for fix rdf_avg
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3] c_rdf[4] c_rdf[5] c_rdf[6] c_rdf[7]
1000 100
98 2.4375 1.17438 11.2884 1.05212 12.3283 1.06395 11.3722
99 2.4625 1.16042 11.7283 1.04972 12.7282 1.09131 11.7859
100 2.4875 1.15743 12.176 1.07111 13.1447 1.02693 12.1832
5000 100
1 0.0125 0 0 0 0 0 0
2 0.0375 0 0 0 0 0 0
3 0.0625 0 0 0 0 0 0
4 0.0875 0 0 0 0 0 0
5 0.1125 0 0 0 0 0 0
6 0.1375 0 0 0 0 0 0
7 0.1625 0 0 0 0 0 0
8 0.1875 0 0 0 0 0 0
9 0.2125 0 0 0 0 0 0
10 0.2375 0 0 0 0 0 0
11 0.2625 0 0 0 0 0 0
12 0.2875 0 0 0 0 0 0
13 0.3125 0 0 0 0 0 0
14 0.3375 0 0 0 0 0 0
15 0.3625 0 0 0 0 0 0
16 0.3875 0 0 0 0 0 0
17 0.4125 0 0 0 0 0 0
18 0.4375 0 0 0 0 0 0
19 0.4625 0 0 0 0 0 0
20 0.4875 0 0 0 0 0 0
21 0.5125 0 0 0 0 0 0
22 0.5375 0 0 0 0 0 0
23 0.5625 0 0 0 0 0 0
24 0.5875 0 0 0 0 0 0
25 0.6125 0 0 0 0 0 0
26 0.6375 0 0 0 0 0 0
27 0.6625 0 0 0 0 0 0
28 0.6875 0 0 0 0 0 0
29 0.7125 0 0 0 0 0 0
30 0.7375 0 0 0 0 0 0
31 0.7625 0 0 0 0 0 0
32 0.7875 0 0 0 0 0 0
33 0.8125 0 0 0 0 0 0
34 0.8375 0 0 0 0 0 0
35 0.8625 0 0 0 0 0 0
36 0.8875 0 0 0 0 0 0
37 0.9125 0 0 0 0 0 0
38 0.9375 0 0 0 0 0 0
39 0.9625 0 0 0 0 0 0
40 0.9875 0 0 0 0 0 0
41 1.0125 0 0 0 0 0 0
42 1.0375 0 0 0 0 0 0
43 1.0625 0.00878437 0.00062 0.0155777 0.001105 0.00439219 0.00031
44 1.0875 0.343656 0.02603 0.674389 0.05122 0.245469 0.01846
45 1.1125 1.12589 0.11315 2.69001 0.260415 0.97934 0.09424
46 1.1375 1.41875 0.22792 3.09218 0.511815 1.0814 0.18172
47 1.1625 1.30228 0.33795 2.71696 0.742525 1.10841 0.27537
48 1.1875 1.2993 0.4525 2.32812 0.94881 1.29408 0.38946
49 1.2125 1.11963 0.55541 2.14277 1.14675 1.36758 0.51516
50 1.2375 1.09136 0.6599 2.09775 1.34861 1.15684 0.62592
51 1.2625 1.0312 0.76266 2.00447 1.54936 1.26151 0.75163
52 1.2875 1.07511 0.87408 1.91773 1.7491 1.28372 0.88467
53 1.3125 1.15451 0.99842 1.9167 1.95657 1.18199 1.01197
54 1.3375 1.08895 1.12021 1.82049 2.16119 1.12731 1.13805
55 1.3625 1.10226 1.24814 1.63381 2.35177 1.07452 1.26276
56 1.3875 1.08234 1.37841 1.5493 2.53918 1.01878 1.38538
57 1.4125 1.11187 1.5171 1.42008 2.71721 1.14674 1.52842
58 1.4375 1.09652 1.65876 1.43847 2.90398 0.974377 1.6543
59 1.4625 1.05143 1.79936 1.41758 3.09449 0.959224 1.78257
60 1.4875 0.956313 1.93165 1.38518 3.28707 1.01653 1.92319
61 1.5125 0.972226 2.0707 1.2311 3.46403 1.06892 2.07607
62 1.5375 0.931665 2.20839 1.17783 3.63897 0.892623 2.20799
63 1.5625 0.9642 2.35556 1.15094 3.81553 0.977237 2.35715
64 1.5875 0.939593 2.5036 1.12154 3.99312 0.997096 2.51425
65 1.6125 1.00591 2.66712 1.074 4.16859 0.938674 2.66684
66 1.6375 0.964277 2.82877 1.0008 4.3372 1.00782 2.83579
